time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
1.470013,-0.049658,0.013344,-0.050945,-0.137955
1.475013,-0.049913,0.012508,-0.050773,-0.143170
1.480013,-0.050166,0.011830,-0.050414,-0.151166
1.485013,-0.050416,0.010918,-0.049854,-0.154925
1.490014,-0.050663,0.010391,-0.049075,-0.153384
1.495014,-0.050905,0.009459,-0.048072,-0.156723
1.500014,-0.051142,0.008922,-0.046853,-0.156884
1.505014,-0.051372,0.018548,-0.045381,-0.102443
1.510015,-0.051594,0.018120,-0.043662,-0.102949
1.515015,-0.051807,0.017495,-0.041784,-0.106579
1.520015,-0.052010,0.017281,-0.039828,-0.113310
1.525015,-0.052203,0.016601,-0.037856,-0.113364
1.530015,-0.052386,0.016058,-0.035905,-0.109956
1.535016,-0.052560,0.015398,-0.034015,-0.108646
1.540016,-0.052725,0.014940,-0.032196,-0.106281
1.545016,-0.052881,0.014299,-0.030481,-0.107971
1.550016,-0.053028,0.013868,-0.028890,-0.108061
1.555017,-0.053168,0.013217,-0.027434,-0.109513
1.560017,-0.053301,0.012567,-0.026128,-0.127025
1.565017,-0.053429,0.011800,-0.024974,-0.129461
1.570017,-0.053550,0.011478,-0.023932,-0.120402
1.575018,-0.053667,0.010751,-0.022959,-0.123388
1.580018,-0.053779,0.010074,-0.022015,-0.134296
1.585018,-0.053886,0.009266,-0.021068,-0.136008
1.590018,-0.053989,0.008637,-0.020066,-0.142152
1.595019,-0.054086,0.007776,-0.018968,-0.145906
1.600019,-0.054177,0.007536,-0.017753,-0.137202
1.605019,-0.054261,0.030780,-0.016296,-0.044475
1.610019,-0.054338,0.030484,-0.014601,-0.046360
1.615019,-0.054406,0.030201,-0.012850,-0.047631
1.620020,-0.054465,0.030034,-0.011198,-0.052590
1.625020,-0.054517,0.029725,-0.009816,-0.051944
1.630020,-0.054562,0.029521,-0.008798,-0.054529
1.635020,-0.054605,0.029191,-0.008239,-0.058429
1.640021,-0.054645,0.028964,-0.008201,-0.064148
1.645021,-0.054688,0.028572,-0.008730,-0.066188
1.650021,-0.054735,0.028264,-0.009860,-0.075482
1.655021,-0.054789,0.027808,-0.011550,-0.079331
1.660022,-0.054853,0.027324,-0.013684,-0.095306
1.665022,-0.054928,0.026739,-0.016181,-0.103565
1.670022,-0.055018,0.026346,-0.018964,-0.105905
1.675022,-0.055121,0.025695,-0.021883,-0.114696
1.680022,-0.055240,0.025505,-0.024877,-0.109631
1.685023,-0.055373,0.024830,-0.027855,-0.116881
1.690023,-0.055521,0.024226,-0.030753,-0.128632
1.695023,-0.055683,0.023439,-0.033509,-0.136881
1.700023,-0.055858,0.022948,-0.036101,-0.138721
1.705024,-0.056046,0.026354,-0.038534,-0.056943
1.710024,-0.056246,0.026082,-0.040773,-0.062502
1.715024,-0.056456,0.025690,-0.042849,-0.070732
1.720024,-0.056676,0.025457,-0.044831,-0.076327
1.725025,-0.056906,0.024992,-0.046791,-0.082126
